year;taladradora;limones;cazadora;azafrán;uvas;comino;medias;pala;laurel;mandarinas;sierra;zapatos;romero;piña;tornillos;guantes
1841;0,0;0,00011966255937880175;1,0736232322220271e-05;5,677629530964623e-05;0,00025886316572203735;3,981956646319824e-05;0,00135464422003549;0,000285461520174327;0,0004878621309347052;7,590972675838463e-07;0,001602903206990699;0,00043842717007334746;0,00015667838876457348;3,37629032287623e-05;9,193549642207342e-05;0,00021641334829577578
1842;0,0;0,0001073247911368266;1,0112751169799594e-05;5,8984150643124985e-05;0,0002668331587431437;3,777558613852047e-05;0,0013059674009647487;0,0002864961126241334;0,0005307271911598426;7,590972675838463e-07;0,0017002826358033679;0,0004305852501472275;0,00016789442237755532;3,153894486526302e-05;9,8722936822274e-05;0,00021191390422765314
1843;0,0;0,00010225863929593158;8,452308351637936e-06;4,592527978226306e-05;0,0002481406227161642;3,733854023429168e-05;0,0012713352979127584;0,0002679861479139488;0,0005161185559440387;3,272583321794238e-06;0,0017511997352162973;0,00040645037578152757;0,00016298916664579468;2,7313538453199726e-05;8,649897722534661e-05;0,00019414110283832997
1844;0,0;6,779885219592481e-05;1,0783594753657358e-05;3,1299781560229735e-05;0,0003071306829432225;3,355018297465254e-05;0,0011871461798104324;0,0002699283251266544;0,0005205384403390261;3,4877086615584374e-06;0,0018910111716000494;0,0003867167281766472;0,00012347010007423314;2,627757546796212e-05;9,446775704548469e-05;0,0001866086222435115
1845;0,0;6,551718822070793e-05;1,0783594753657358e-05;2,638915920069199e-05;0,0002591239016120588;3,031908489349787e-05;0,0011730996837806223;0,00028372442427228507;0,0005060818076734515;3,175082698346289e-06;0,0018492212413028547;0,0004028339909772123;0,00011516870586092409;2,551092787176198e-05;0,00010463062949384039;0,00018488203912576346
1846;0,0;6,20292890321902e-05;1,0170710128067282e-05;2,768730128975351e-05;0,00027035726881357344;2,71323401079826e-05;0,0011989850593506293;0,00029123180930972533;0,00048093786517711123;3,67749503230438e-06;0,0018424076967806157;0,00038210912732340925;8,620781061706242e-05;2,590286791408809e-05;0,00012381964609176066;0,00016680322037895427
1847;0,0;6,365530517931412e-05;8,638882307922455e-06;3,8009439557689415e-05;0,00027788045144916396;2,9263448197980324e-05;0,0011953406751022807;0,00029159962845629446;0,0004905133404723269;4,041371529491958e-06;0,002040921000505997;0,00037949092919526653;8,598265545905244e-05;5,638455442229835e-05;0,0001335641806170835;0,00016343046809197403
1848;0,0;7,00264211315828e-05;8,726262163654447e-06;3,572541658058981e-05;0,00028503541216196027;2,938335086355437e-05;0,0011839732386371388;0,00029881006347360587;0,0004866512231923739;3,5949002251202596e-06;0,0020460445739445277;0,00037692870072143184;9,025408108495217e-05;5,7484779298582514e-05;0,00013013526378407341;0,0001630987526368699
1849;0,0;6,910601249338859e-05;9,83234962654527e-06;3,469990689706849e-05;0,00027060470496767915;3,0330197984897366e-05;0,0011804161918657233;0,0002865444002964068;0,0004623874117117209;3,5949002251202596e-06;0,002004225513831313;0,0003822674313726436;8,368795160354889e-05;5,719082228746888e-05;0,00013905753430013386;0,00016470582490260961
1850;0,0;6,818926700751555e-05;1,0453021965466697e-05;3,2589936844423005e-05;0,00027270278094095247;2,988048696092197e-05;0,0011806132663748161;0,00028262369206848755;0,0004334681599565167;1,0814141709098685e-06;0,00195402196498305;0,00038189209590200335;9,023659767340828e-05;5,839752077463345e-05;0,00015307157111367684;0,00017574511730344966
1851;0,0;6,605164181954544e-05;1,4307134473970757e-05;2,9609953600129302e-05;0,0002134153874067124;2,6989462753590487e-05;0,0012595482855561255;0,0002689473896160572;0,0004392930122776306;8,66288831145669e-07;0,0019373252013922737;0,00037644322544240694;8,63280539371252e-05;5,7802978809767016e-05;0,00015642737594134815;0,00018015204951942515
1852;0,0;6,980913472684083e-05;1,9525252322897097e-05;2,8688272684413664e-05;0,0002972136956356865;2,9604531245500508e-05;0,0012915909272643539;0,0002571862816174481;0,00047012331703756766;8,66288831145669e-07;0,0019268076487475938;0,0003743769184438861;9,590669703486907e-05;6,08702094950786e-05;0,00015538599151503668;0,0001899518857888844
1853;0,0;6,29689416038153e-05;1,9553907496369254e-05;2,2027648429099956e-05;0,00029702491052116135;2,8484770301214925e-05;0,0012754469415605335;0,0002477821453794604;0,0004495791959665699;3,638764971875779e-07;0,0020660250161849297;0,00035625188762164077;9,126973330759418e-05;6,213324630672494e-05;0,00016281999007462997;0,0001901375120334186
1854;0,0;6,51966156997982e-05;1,8526399462156667e-05;1,2754011078998572e-05;0,0002892183504497682;2,5907502682847348e-05;0,0012156142604778455;0,0002528839201789067;0,0004790720562855963;3,4031312371293356e-07;0,0018783555398320978;0,0003642841680370371;9,671203104387262e-05;3,59719836394236e-05;0,00016518633287887496;0,00020286369947695803
1855;0,0;6,256687267328484e-05;2,1722577311525777e-05;1,9782535787271627e-05;0,000277601597125405;2,6739903903814722e-05;0,0011965035550279676;0,00023709174651490424;0,0004786393446920556;3,4031312371293356e-07;0,0017200988233006293;0,0003482304496823677;9,796505651138432e-05;3,8813735159237694e-05;0,00020388103588889602;0,00019600958661872677
1856;0,0;7,33072336548243e-05;2,1139070075345705e-05;2,308358456762757e-05;0,0002779731062219071;2,701497448599964e-05;0,0012532691861062112;0,0002505691814544012;0,0005080265087339544;3,4031312371293356e-07;0,0022499772447710192;0,00037681112579386015;9,883726599062875e-05;3,9973018926632774e-05;0,00019859529142455097;0,00019182330756198747
1857;0,0;7,271164374092873e-05;2,2326040241945782e-05;2,5147201654363016e-05;0,00028664428230383365;2,6797686660172205e-05;0,0012794900352933577;0,00024155163568398815;0,0005943051356942826;3,4031312371293356e-07;0,002295600786185657;0,000385993994963688;8,688952115270305e-05;4,233525195169412e-05;0,00018972541348765453;0,00019467967311876625
1858;0,0;7,360693733257253e-05;1,754689285300109e-05;2,7952403566392346e-05;0,0002887608518774089;3,0545194208895866e-05;0,0012060611879860517;0,0002506821406963614;0,0005879372435759121;4,707331159790686e-07;0,002419311061073261;0,0003901602700092813;8,424348599029534e-05;5,008407474146484e-05;0,0001810600679164054;0,00018862975983730785
1859;0,0;7,459809572602743e-05;1,2985144388315867e-05;2,841318301908099e-05;0,00027365815965042984;2,9009312234913e-05;0,0011856264531421143;0,0002558531507799801;0,0005796948374024526;4,707331159790686e-07;0,0023552412130811717;0,0003775621248028723;7,422341557880177e-05;4,793907878917838e-05;0,00016935057211802423;0,00019763526454750845
1860;0,0;7,99564109651588e-05;1,640904976341062e-05;2,8926221976429846e-05;0,00027509970550454454;3,197720133130133e-05;0,0012101182359661575;0,00025498602229033295;0,0006169256591549908;4,707331159790686e-07;0,0022516545089144658;0,00039928436308400705;8,561540758884283e-05;4,858348887637476e-05;0,00016151418386860833;0,00023383480213721796
1861;0,0;7,812225654950973e-05;1,571184990366094e-05;2,9261424978293303e-05;0,00028974256370669797;3,192748059583599e-05;0,001243060393920002;0,0002599974972586746;0,0005936356241623539;1,30419992266135e-07;0,00229257124634127;0,00042258338908141013;8,305408292536802e-05;4,239473513832438e-05;0,0001951132016334408;0,00022515861571394325
1862;0,0;7,384477141515942e-05;1,3701498145581225e-05;2,6924864471311594e-05;0,00031740741600775176;3,1192750985350616e-05;0,0012523085778021986;0,00026543891635810724;0,0005751239314122358;1,7354519852931716e-06;0,0023295598631583353;0,0004281845122022787;7,671618545503276e-05;3,8772868598308765e-05;0,00015917888731564744;0,0002181554171849192
1863;0,0;7,24941474215614e-05;1,3463298742522056e-05;2,3204556295500618e-05;0,0003301685637779883;3,569640106044452e-05;0,001201523991767317;0,000245022632887932;0,0005463469603585379;2,5654600983265093e-06;0,0020320085371037877;0,0004129029418566331;7,680785358843423e-05;4,3817578289560644e-05;0,00014898712216953363;0,00022479300209202587
1864;0,0;7,316655471965663e-05;1,664962045059123e-05;2,4163759348994063e-05;0,0003505451234429659;4,104873007853322e-05;0,0011668313423537516;0,00024905386096309357;0,00047646503194950383;2,5654600983265093e-06;0,0020940166125780835;0,0004293347079250712;8,633233099837006e-05;4,2043437531447125e-05;0,0001459090291129022;0,00022532603744756282
1865;0,0;8,051856233188508e-05;1,5798753340488603e-05;2,4113199158039477e-05;0,00034929885259771254;3,6491705454214495e-05;0,001146941044031077;0,00024543700517045054;0,00045786315630331434;2,589521701829816e-06;0,0019349968689701719;0,00042450886407355683;8,420656415962315e-05;3,6539299433765594e-05;0,0001579474452942772;0,00023057634085229699
1866;0,0;7,620837030637111e-05;1,777895874965907e-05;2,6127392313160923e-05;0,0002855652902716039;3,653679040585952e-05;0,001121947272102781;0,00023642643652367824;0,00045350021926943943;2,589521701829816e-06;0,001969490910726433;0,00043579145767580485;8,347510304572227e-05;3,702398763445152e-05;0,00015129582168680957;0,00021617279019535218
1867;0,0;7,099877044376106e-05;1,492005777338688e-05;3,291386596921646e-05;0,00025482929117970343;3,555622153531398e-05;0,0010682359321175941;0,00023612206112894843;0,0004163256302750337;2,589521701829816e-06;0,0019568229747944444;0,00041444717291077334;7,078205775152517e-05;3,8929940972463684e-05;0,00013719609666752928;0,00018026600270916658
1868;0,0;6,707614090828429e-05;1,8921965810087776e-05;3,074149645954094e-05;0,00023846866546201842;3,737060276470012e-05;0,0010417669597830223;0,00022488158687597855;0,0004364948316443977;2,589521701829816e-06;0,0018787655010653126;0,00037408358691339217;6,28913263816295e-05;4,164567956520061e-05;0,00012008529211016139;0,0001901016552048012
1869;0,0;0,00010997807383513906;2,090066431037485e-05;2,5530335128516004e-05;0,0002661254443734963;3,8700120796875126e-05;0,0010578166958501761;0,00023087836942587662;0,00046097270569589455;9,844897088027795e-07;0,0020205781506125015;0,0003984022149389992;5,5330652669129314e-05;5,379786419520574e-05;0,00011783841224704311;0,0002028834728662332
1870;0,0;0,00010508989711459954;2,245097892991258e-05;2,702698458684998e-05;0,00025842173840828764;3,528470305777124e-05;0,0010719906770516121;0,00024264173654436102;0,0004652911164677269;1,544815957694417e-07;0,0018009966100050534;0,0003845534625465266;5,928755147773959e-05;4,817743542519435e-05;0,00012019133188394853;0,00019170348325912655
1871;0,0;0,00010561192189990315;2,2605010384170653e-05;2,520121356042182e-05;0,00023359813781098637;3,272234181395106e-05;0,0010493581612536218;0,00023935697949387498;0,0004672033940421118;1,544815957694417e-07;0,001740653845315267;0,0003624011242209235;5,6358879468072185e-05;4,6479463224256635e-05;0,00012280098157394344;0,0001897680785337538
1872;0,0;9,806558044341988e-05;2,3313380584763115e-05;2,2535618679090214e-05;0,0002228559724569225;3,5904193396163464e-05;0,001059895112121012;0,000237763707186137;0,0004794094495861957;0,0;0,0017430401775137788;0,00037003951872195885;6,011117363868834e-05;5,801672549361163e-05;0,00011519237789668426;0,0001921008837208709
1873;0,0;0,00010154883146437247;2,3513183577961172e-05;2,03024857877868e-05;0,0002349478376930035;3,2924645308542366e-05;0,0010653845362997214;0,00024260728293614065;0,000552667441817383;5,971321469035371e-07;0,0018377477577554862;0,00036349005573096553;6,389988251547558e-05;6,559570156891173e-05;0,00012972101330888108;0,0001926160312645412
1874;0,0;0,00010329461872515822;2,3716599376452257e-05;1,3126583451951645e-05;0,00025906916952018425;3,534926236170577e-05;0,0010643186864659324;0,0002506627197362832;0,0005632794779687954;5,971321469035371e-07;0,001968164113869924;0,00037730048266634446;7,019120817273818e-05;6,517835231534264e-05;0,00017391030512823948;0,00021183877509299364
1875;0,0;0,0001119381794621534;2,1111428135814742e-05;1,4362297256249284e-05;0,00029207930408249794;3,65245402430706e-05;0,0010549838017530938;0,000252551610304051;0,0005453908215713454;1,0473388759432315e-06;0,002110632392162058;0,000406355294606848;7,215199348463232e-05;6,236267608983326e-05;0,00017296075692943953;0,00020361904781956194
1876;0,0;7,022024785133649e-05;1,956869368768821e-05;1,6619425074233212e-05;0,00025547308756098834;3,456987838847324e-05;0,0010102506426587102;0,0002516473581895947;0,0005040044178323504;1,509261997918137e-06;0,002089072924198782;0,0003765214582277362;7,841046161567127e-05;5,208492471605755e-05;0,00021190780411676054;0,00020523785094285685
