year;policía;doctor;abogado;periodista;pintor;músico;fotógrafo;doctora;profesora;taxista;cartero;albañil;bombero;fotógrafa;dependienta
1900;0,005723716874074723;0,021009549423719624;0,0030993451998386134;0,0006370951788475006;0,001020907542884483;0,0002964193884378931;7,302981625148927e-05;3,561458206442174e-05;0,000370870946296366;1,2961285378310095e-07;7,109173582518582e-05;0,00012525522054472406;2,9235968363699226e-05;1,926713138240237e-07;5,488841254524297e-07
1901;0,005568693762013156;0,021679438941646367;0,002975778495186075;0,000573386023461353;0,0009463382411922794;0,0002993938876118461;8,030080493881542e-05;3,4932491895948e-05;0,00038981383048459454;0,0;7,911419288575416e-05;0,00012937156270709238;2,7823663170270917e-05;1,926713138240237e-07;6,473326636629346e-07
1902;0,005387831073936208;0,020528827527804033;0,0028485917937359773;0,0005960162785153703;0,0009257520235093711;0,0002967139672754066;9,048843350813383e-05;3,810037908026841e-05;0,00037449528917932184;0,0;9,035261915154738e-05;0,00013206830219912393;2,8412731925949887e-05;1,926713138240237e-07;5,131274072311953e-07
1903;0,00519002709812152;0,02029934195369216;0,002785797577027032;0,000594230752020459;0,001075174272305698;0,0003322097947083031;9,397054116431849e-05;3,566760337240079e-05;0,0003751986858852823;0,0;9,304096368266203e-05;0,00012956895229113537;2,628747525688725e-05;1,926713138240237e-07;6,892081572118514e-07
1904;0,004960980420167159;0,019578516159007058;0,0027156733787186177;0,0005757618509960594;0,001105083616234229;0,00033712786132257733;9,766053982015625e-05;4,012103837729748e-05;0,00038294697982824545;7,995584511937587e-08;0,00010482925176802382;0,00012823609917437091;2,6057974216493153e-05;1,926713138240237e-07;1,0889873891528623e-06
1905;0,004985841327912307;0,01905036042444408;0,002658679035708441;0,0005853640816764839;0,0012489411866616657;0,0003424924638498591;9,922769501307421e-05;4,362572667560016e-05;0,000365235941249661;7,995584511937587e-08;0,00011654290363237254;0,00013820885149990709;2,123516966077789e-05;3,6200707193805623e-07;9,518796037103324e-07
1906;0,004816710082065713;0,019824591955901787;0,002529977843680951;0,0005869662345503457;0,0012742613892312096;0,00035716796966361083;9,937138705546595e-05;4,93290627900933e-05;0,0003937758752467094;7,995584511937587e-08;0,00011176371117471717;0,00015496715540003997;2,1648336050767674e-05;1,693357581140325e-07;9,518796037103324e-07
1907;0,00483012554468587;0,020720389563523765;0,002574569459414176;0,0006493671857502445;0,0012987273943768482;0,0003436635811989878;9,399906600395167e-05;5,449048866726766e-05;0,0003693959960011333;7,995584511937587e-08;0,00010777098639534546;0,00015193870207700196;2,0145972001728296e-05;1,693357581140325e-07;9,869473619314055e-07
1908;0,004774032536910714;0,02098311483028478;0,0025059870365242076;0,0006612249308091123;0,0013193203942916756;0,00035184589900641834;9,284761810184656e-05;5,8289543046287554e-05;0,00034240209905484723;7,995584511937587e-08;0,00010512709666597533;0,00015110032336451695;1,9958606348576984e-05;1,693357581140325e-07;8,884988237209005e-07
1909;0,004684946179622784;0,022318719545312758;0,0024276750471991754;0,0006718152105479801;0,0013468534494417586;0,000346888698134405;9,002647110329625e-05;6,546713474823005e-05;0,00039609035736378113;7,995584511937587e-08;0,00010036239521988527;0,0001511815038871386;1,8569244377074157e-05;1,693357581140325e-07;8,884988237209005e-07
1910;0,004616137396494325;0,023208469584850327;0,002408604242581142;0,0006858756673214625;0,0012622162103070877;0,00034326782432409734;9,102457495048708e-05;8,595629878982436e-05;0,00042638141946684167;1,6672886563437066e-07;9,092619279726932e-05;0,0001561635631982686;1,9917057260597305e-05;1,693357581140325e-07;7,124180737402444e-07
1911;0,004526386796247347;0,024307230238004456;0,00244437599446558;0,0007211887675241867;0,001480627737951831;0,0003522867375847584;9,309499497638691e-05;9,123836548496911e-05;0,00042777219927562073;8,677302051499477e-08;8,081461016575173e-05;0,00015422097184065415;2,161203340733664e-05;1,693357581140325e-07;6,568787038117665e-07
1912;0,004402666361004647;0,025562495700017153;0,00247668397475666;0,0007190704179395523;0,0014491267393168528;0,00036426867089695795;9,20112711355614e-05;9,49296285008521e-05;0,0004322264625703351;8,677302051499477e-08;7,180742857469471e-05;0,00014454682936307757;2,4608995273313538e-05;0,0;6,643238530707711e-07
