year;sierra;escalera;casco;maletín;cono;cubo;linterna;chaleco;martillo;pincel;pala;manguera;taladro;polea;destornillador
1926;0,0020133971962163094;0,0008203070917391284;0,0004576519456479998;2,1848625714986675e-05;0,0005351965877967554;0,00025826758311658135;0,0001854595195384588;0,00013450482226419678;0,00031687942347551664;0,00038818659179794073;0,0003572476056693371;4,16977020531054e-05;8,72243146789385e-05;8,732462869634869e-05;6,1344634514983094e-06
1927;0,0020170497009530663;0,0008287858431036252;0,00047089745619034924;2,3004413003085184e-05;0,0004881890553016481;0,00024272918933222954;0,00021393767610788927;0,00013979269916879794;0,0003333282750515666;0,0003852421059491462;0,00035705580947771;3,9732621408867476e-05;8,819234673345428e-05;8,939884586262841e-05;6,028385359156476e-06
1928;0,002063277705539284;0,0007979521407313378;0,0004728119815159257;2,301288795081291e-05;0,0005195545717080157;0,0002361142134889503;0,00020036422288935034;0,00013805174765885958;0,0003410995532249217;0,0003740250479365516;0,00035448879641210496;3,3807406753437264e-05;8,631939830853039e-05;8,470908759201328e-05;5,018724305979763e-06
1929;0,002016763366035385;0,0007753499695744332;0,0004537076425289602;2,6287210833483444e-05;0,0005288859093915173;0,0002180319191731022;0,00020160687037267574;0,00014048471744640016;0,00033920864227963775;0,00037528330787089156;0,00035226198633608874;3,566810278243793e-05;8,579263765438685e-05;8,260341896207788e-05;4,490489326412574e-06
1930;0,002078482845848027;0,0007496315772316718;0,0004511486882360519;2,77867568700328e-05;0,0005460951862395243;0,00021544835655212021;0,0001983423820612578;0,0001389999446083883;0,0003425996250630955;0,0003533757600442706;0,00035610305531008635;3,640867589638219e-05;9,32254790443819e-05;9,12202519235247e-05;4,488903598038567e-06
1931;0,0021210154955042526;0,0007282397681202772;0,0004469684297094188;2,7004815348975952e-05;0,0005558184966503177;0,00020265146401600632;0,00020210080557652485;0,00013961937546420295;0,00035518332229652775;0,00034689375232639056;0,00034300989812306525;3,6866677126974014e-05;0,0001175505295642714;9,05178938280317e-05;4,710028202379947e-06
1932;0,0021516234742843415;0,0007607045712835056;0,00045707747631240636;2,526014830956618e-05;0,0005533204395240838;0,0001960860881159273;0,00020764174613369893;0,00013677020466015425;0,00035792324004952595;0,00034141892553764464;0,00033522830043304045;3,7033553163772535e-05;0,00012296659325069674;8,529783761852221e-05;6,753001992519461e-06
1933;0,0020082136480985874;0,0007823141394120675;0,0004531433140592915;2,437815282974043e-05;0,0005627032740968778;0,00018711875944583362;0,00021743761148432635;0,0001462206065688016;0,00035375151128391735;0,00034684342803562425;0,00033202848693950467;3,7072191259669906e-05;0,00011515515520191651;7,673810305927223e-05;7,238932729438017e-06
1934;0,0020735458227656117;0,0007877384827484743;0,00044030629006946195;2,4205853930782594e-05;0,0005672689439961687;0,00019218775508176932;0,0001869732354212569;0,00014202151987774414;0,00035628982654348614;0,00033814977281768473;0,0003413563068274276;3,777221024847677e-05;0,00011663849558577307;7,793197158077549e-05;7,840137808809036e-06
1935;0,002071932716976984;0,0008124505711748498;0,0004471981420855238;2,2974599695706794e-05;0,0005571667250998351;0,0001959228321928614;0,00019521735826596602;0,00014811909880206388;0,00036481295800123395;0,0003490368596560854;0,00034404493232744116;4,272187084097823e-05;0,00011928145795536693;8,35374805774336e-05;9,193866087490018e-06
1936;0,002150226516407981;0,0008350591217874484;0,0004725316232777134;2,3213144727053858e-05;0,0005388586682134441;0,00020724613542759992;0,00019447055592536344;0,00014683211994841777;0,0003600881395219143;0,00033914027426362736;0,00034525115292386284;4,7097884297337646e-05;0,00013176556633100387;8,446266649895864e-05;9,099831593013213e-06
1937;0,0021855889956766206;0,0008355323903482972;0,0004847114334032605;2,198680074830658e-05;0,000546442340367191;0,0002041318111878354;0,00019205078680378004;0,00014385104317885374;0,00035930263493355596;0,0003544714737862315;0,0003510164235974246;4,985039489773564e-05;0,00012917092573973475;7,926785607586291e-05;9,48297988705755e-06
