year;teatro;iglesia;hospital;hospital;ayuntamiento;museo;colegio;estación;juzgado;metro;fábrica;farmacia;correos
1846;0,003992569327238016;0,01476221711657542;0,003807188867150606;0,003807188867150606;0,006538903679549029;0,0004425143645546216;0,005120916362752074;0,00020116389529383535;0,0036853890508479837;0,00040771682441637883;0,0027622094681386705;0,001351954428433341;0,0017142990665368935
1847;0,003991099427886573;0,015355692760619735;0,0037044108986654988;0,0037044108986654988;0,006311387499278811;0,0004200102499193495;0,005079819519388755;0,00021163881212617398;0,003758056949923879;0,00047637638220164396;0,002998288748910584;0,001313674114758864;0,0017381266843585763
1848;0,0038868520018045926;0,015145982407765195;0,0034216477485772756;0,0034216477485772756;0,006262638427350404;0,00041264912787093114;0,005138586597500502;0,00024305245785529096;0,003671094288750153;0,000537801059051292;0,0032289322656911933;0,0011904976288081212;0,0017471316303791745
1849;0,0037191092685264137;0,015267721443836178;0,003246646831809942;0,003246646831809942;0,0064131143777298606;0,00042260298219584257;0,005185803976408871;0,0002646350123671125;0,0037984047334508175;0,0006181989354964961;0,0032357817222613706;0,0011470166490263572;0,0017692748380276108
1850;0,0034615926779224537;0,015980832228836204;0,003311282749304415;0,003311282749304415;0,006222805521766921;0,0004139956428973944;0,004578634980134666;0,0002850171085810871;0,004070453880038778;0,0007170279299576318;0,003369988397545447;0,0010728966442132201;0,0017625578948354814
1851;0,003438658547695793;0,01607478438277862;0,0031328536351793446;0,0031328536351793446;0,005770081926519717;0,0003863707190378461;0,004628237573862342;0,0002843137053787359;0,004548041761154309;0,000743787995816092;0,0033988946857529557;0,0007493519011144859;0,0018398546022321432
1852;0,0033418367560703443;0,015239780519290695;0,0031835618886231843;0,0031835618886231843;0,005493397293321323;0,0003827213942843498;0,004447674447354595;0,00034260799891074257;0,004485482401962925;0,0008536559887163872;0,003206724847716812;0,0007800117860564829;0,0018527310723064666
1853;0,0033468251526106284;0,015049448640119017;0,0029313662837791655;0,0029313662837791655;0,00446159338025609;0,00032672185982716783;0,004200287626840041;0,0003968488337185201;0,0051226433112918;0,0009278109116296815;0,003159883531874844;0,0006097335179739665;0,001789779980754247
1854;0,0031958205519393755;0,014587809086411392;0,0031378006627034794;0,0031378006627034794;0,004016968133717975;0,0003281481716450279;0,0041244337418382725;0,00041165995818508757;0,005372875343060254;0,0009406280111891516;0,003021836164407432;0,0005638663066877468;0,0016519536724704915
1855;0,0032329467493192555;0,01336108720611914;0,0032332713089999743;0,0032332713089999743;0,003662100451557697;0,0003265489778771423;0,003880843723891303;0,0004569634484141716;0,005695702618270714;0,0009970922617087905;0,002766103924451662;0,0005252282237831553;0,0017809748117412838
1856;0,003287869523254423;0,013115157759914706;0,0032239543153471982;0,0032239543153471982;0,003005445614689961;0,0002932945546620301;0,003700591878441628;0,0005159149915406098;0,0054991715712406275;0,0009951409408261367;0,0028952942687153283;0,000514350738610249;0,0017831117085214438
1857;0,0035470855696725524;0,01198712780023925;0,0031268485534902924;0,0031268485534902924;0,0030629368016629344;0,0003140605258522555;0,003688557028778762;0,0005463104246570895;0,00541478163670815;0,0010543382878885105;0,0029100295380755726;0,000541301087001297;0,0017985740409390666
1858;0,003521512553561479;0,011431965997741957;0,0033898971066394423;0,0033898971066394423;0,003114611484176878;0,0003147518522642453;0,003571850096964876;0,0006319375026058489;0,005201905514695682;0,0011033724929023134;0,003036740443868829;0,0005328981680057561;0,001871795848273905
1859;0,003549660583043338;0,011975241587996217;0,0036027933934487267;0,0036027933934487267;0,0032271814883902804;0,0003036725274796481;0,0037805298623944895;0,0006114774903055929;0,0051580120530811;0,001103594955306367;0,0029670723441605723;0,0004609211925656252;0,0020810248055827935
1860;0,0034834291000152007;0,012185036238016827;0,0038993821103109182;0,0038993821103109182;0,003345030069924958;0,00031085153620681794;0,0038301629631730194;0,0006106766217531653;0,004337505561124999;0,001134289959736634;0,0029683018770551178;0,0004535684021383142;0,002059609999248226
1861;0,003557080708560534;0,012004549457092903;0,003643823427929809;0,003643823427929809;0,0030761204470763914;0,00028873491341333387;0,0037878038451058926;0,0006168287784800798;0,003816577243144691;0,0011794273112692671;0,0029449698818747754;0,00043865056470947044;0,001977278407139238
1862;0,003575180016923696;0,012358933080187335;0,003731247332845149;0,003731247332845149;0,003057582190584591;0,00028257928761377116;0,0037732729262123553;0,0005872981806273206;0,0034279747654051918;0,001166280721268517;0,0030495322789647616;0,0008482628248072746;0,0019332442596870741
1863;0,0034615444747032598;0,012062237510690466;0,0038592146665905602;0,0038592146665905602;0,0029681570075419067;0,0002980113468506066;0,0037442909420600957;0,0005377898137989437;0,0034647058263154963;0,0011069185867589632;0,00293318982065622;0,0008390205331514672;0,0018543809346738271
1864;0,0038103757106000558;0,012064695744941543;0,003829494978292912;0,003829494978292912;0,002664959707284912;0,00033957624542121527;0,003753423983913048;0,0005438775165852608;0,003168018208400879;0,0010268448412326897;0,0031375644019655214;0,0009570179599904804;0,001888647680711334
1865;0,003902459762425029;0,011795922390384865;0,0036537380895294647;0,0036537380895294647;0,002419340918485042;0,00033213188836660786;0,0033937838972113764;0,000572545660101501;0,002837229528397854;0,0010921401164003847;0,002966802068320768;0,0011432649606441764;0,0018312597343797927
1866;0,003942223546411177;0,010515616304473951;0,003369273846536609;0,003369273846536609;0,0025713413378980476;0,000319200617988307;0,003132142748134876;0,0006101107406461129;0,0028005831284515026;0,0010418307673327426;0,002901818905749159;0,0011429429020738877;0,0016956093012205592
1867;0,003973266991254475;0,009915267375098276;0,0031657768756433924;0,0031657768756433924;0,0037070617249160675;0,0003041442515236018;0,002848763818162427;0,0006067916696598072;0,0029756495548229267;0,0009531430415726;0,002745076900672367;0,0011108607005943277;0,0017849563976467054
1868;0,004103910552138197;0,009710227043667276;0,0032567797721380232;0,0032567797721380232;0,004004011485189299;0,00035608469650989197;0,0030003285116565947;0,0008458333890562894;0,0032449613302430536;0,0010081745001246287;0,002801890981832652;0,0011115202466628813;0,0019478431048420525
1869;0,004126330999757296;0,010091823579776766;0,0031107174176473306;0,0031107174176473306;0,003928083879145561;0,00036431023805302436;0,0031200462347312297;0,0008941393356768198;0,0033174523455922356;0,0010163002765953674;0,002691579200992627;0,0006921686690475326;0,0020389750716276467
1870;0,004151154280407354;0,009683751808812044;0,0028837711527428056;0,0028837711527428056;0,003874239272201001;0,00040105632186688514;0,003046288916915988;0,0009301341054067183;0,00332998440301578;0,001094345641052184;0,0026199230498085463;0,0006745991088661997;0,0022077280976061176
1871;0,0036603434896928123;0,009108979325641744;0,0027447622414911166;0,0027447622414911166;0,004020333446013475;0,00040457005070493324;0,003075049530057835;0,0009701144985488749;0,0035071410301108176;0,0011256193309756263;0,0023004266560227343;0,0005120468131281086;0,002292053873783776
1872;0,0037555915956285647;0,009040161759393024;0,002676552711428875;0,002676552711428875;0,003926321707175313;0,0004483762690402468;0,003192836473837295;0,000920831384324369;0,003546085203457291;0,0011028280563810508;0,0023850540206435005;0,00028090373689337866;0,0024320942299839643
1873;0,0038012249465932003;0,008873068353360785;0,0026802692965637626;0,0026802692965637626;0,003624862542242876;0,0004947006313419219;0,003166562471181221;0,0011266396021320751;0,003407611386916999;0,0012012634735063849;0,002597576427173668;0,00024664732011712786;0,002390693901231446
1874;0,004006284299456249;0,008615950771075274;0,002678305671517072;0,002678305671517072;0,00236618296704754;0,0005324403933367908;0,003052393991051109;0,0012768510974378192;0,0031860293477490942;0,0014286909130792733;0,002718876307231507;0,0002532040298319771;0,0023011960365693085
1875;0,0038887864710497;0,008261162708679746;0,002528171613188793;0,002528171613188793;0,0020951231947817306;0,0005211542981799409;0,0029014334618945475;0,0011327186907042883;0,0029276861563890372;0,0014074443892500962;0,0027281397446391304;0,00024307798867084784;0,002212472671609638
1876;0,0037612205103089635;0,007314509119688799;0,002436746477282473;0,002436746477282473;0,002130729574543823;0,0005263500530158385;0,002605631146122635;0,0011534705013868266;0,0027904997425918865;0,0015072906925135093;0,0027775797466996926;0,00024279112754551794;0,0020718340238090605
1877;0,0039895730619069324;0,007220795305329375;0,0025096946306543294;0,0025096946306543294;0,0022336085748975165;0,0004844875417932469;0,002728869912971277;0,0012615168738453317;0,0026197018087259494;0,001519056890434253;0,0029404122739963767;0,0002512325538970929;0,0019432270554326741
1878;0,0044907909666237955;0,006994746997536692;0,0024629003486812246;0,0024629003486812246;0,002076045465011183;0,00043662436967549316;0,0025402664375308503;0,001247894787021713;0,0024003667411826818;0,0016096602718919583;0,002986507102572692;0,0002569794300403113;0,0019527091613521668
1879;0,004515974978858139;0,006883519225604167;0,002482155105099082;0,002482155105099082;0,0021105622181494255;0,00043045045328783866;0,0025160079011194675;0,0013847296291455027;0,0024239925551228225;0,0016866391498686945;0,0029906301538825835;0,000271592827110518;0,0018010347568114021
1880;0,004753906796395313;0,007021192089138952;0,00247417987598705;0,00247417987598705;0,0019032556078205482;0,0004082348336201644;0,002490071450925565;0,0012565465892423941;0,0024548226065235212;0,0016830718517927118;0,002780492676330531;0,00028026526186814796;0,0017573459315047201
1881;0,005007390661506049;0,007402659009260657;0,0025559152033695553;0,0025559152033695553;0,001811115959883734;0,00040416591673420044;0,002476754369646577;0,0013043200072258645;0,002452155500317791;0,0016633953237032983;0,0029134296710253693;0,00029584949580956684;0,0017860919147746506
1882;0,005109646761931279;0,007936213400431111;0,0025993849963664877;0,0025993849963664877;0,0017167338098391027;0,00041326085725553895;0,0023219636724596576;0,001431572660034622;0,0023919179511722177;0,0018184582456472398;0,0030587729010481523;0,0003222860673953879;0,0017216404687912601
1883;0,005198932142645519;0,008413706590155405;0,0026201691330892834;0,0026201691330892834;0,0014938391229536916;0,0004282977962637753;0,002387859266101649;0,001572048729160867;0,0024057787543694887;0,001849258517592846;0,0032658964430863436;0,00035123990268662704;0,0017979677327925208
1884;0,005259343950975952;0,008788368307120566;0,0025579485736670904;0,0025579485736670904;0,0013663761170131952;0,0004329002259899946;0,0023413425619115253;0,0016858888297325131;0,0023818937864104684;0,0019243532993381712;0,0032882044771603046;0,0003542044916165261;0,0019246699594077654
1885;0,004991605289563138;0,009060333416398083;0,0026072695878350976;0,0026072695878350976;0,0012989635446761635;0,0004487802633385789;0,002341855906706769;0,002025408399016929;0,002376850144563442;0,0019472839734849651;0,0033177447871172005;0,00035298833154229214;0,00200544844639288
1886;0,004991425937207948;0,009394489461556077;0,002636664222726332;0,002636664222726332;0,0011704757201057095;0,0004287374427544169;0,002313639405266648;0,0021387468482966404;0,002261414946198264;0,0019540509258929107;0,0034492430391505225;0,00036940293739462504;0,001982489421996953
1887;0,004693381872909542;0,00907576728163154;0,0026644884201232344;0,0026644884201232344;0,0011316878564165173;0,0004340926612452936;0,002322207417039733;0,0023851895873251905;0,0021923338083849686;0,002136491925089753;0,003589489538821259;0,0003610996340544911;0,0020390145436977036
1888;0,004201991863997786;0,009079257974268071;0,002541922627382779;0,002541922627382779;0,0010390411651834647;0,0004991826569624079;0,0029186148042624283;0,002588845355993336;0,002156995521675396;0,0021084139007143676;0,003566039803055381;0,0003405811737268648;0,002052387364009129
1889;0,004116825688730127;0,008393403394230907;0,0024288475157975753;0,0024288475157975753;0,0009096696105968607;0,0004847489630524901;0,0029792485293000937;0,0028436565376718397;0,0022178852564788292;0,002101508912996256;0,003485523640327821;0,00032294271282548185;0,002110390908325956
